RCP_TTL,CKG_NM,CKG_MTRL_CN
집밥백선생 닭볶음탕 황금레시피:),닭볶음탕,"닭,고추가루,마늘,진간장,맛술,올리고당,물  "
초간단 맛있는 새우볶음밥,새우볶음밥,"새우,양파,당근,쥬키니호박,파프리카,밥량 굴소스,후추,올리브유 두르기"
제육볶음 맛있게 만드는 법,제육볶음,"돼지고기,마늘,당근,파 대,청양고추,버섯  고추장,고춧가루,간장,미림,올리고당,설탕,참기름,식용유"
근사한 술안주 마파두부,마파두부,"돼지고기,얇게썰어진 고추,마늘,두부,밀가루,전분가루,대파  간장,미림,식초,고춧가루,고추장,올리고당,후추 꼬집"
맥주안주로 딱! 소세지야채볶음(쏘야) ,소세지야채볶음,"소시지,양파,파프리카 또는 피망,채 썬 파,다양한야채 마늘,간장,고추장,케첩,굴소스,올리고당"
닭곰탕,닭곰탕,"닭,무,대파,통후추 알,마늘 소금,후추"
매콤달콤 부드러운 제육볶음,제육볶음,"돼지고기,양파,양배추,물,올리브 오일 v     매운 고춧가루,설탕,간장,고추장,미림,참기름, 마늘,매실액"
백종원 꽃게탕  꽃게탕 별거아니네~,꽃게탕,"꽃게,청주 또는 소주,무,애호박,청양고추  다시마,된장,고춧가루,간장,마늘"
얼큰하게 끓인 소고기뭇국  무국 아닌 뭇국입니다.,소고기뭇국,"소고기,무 ,물,마늘,청양고추,파  액젓,국간장,참기름,후추,소금"
삼시세끼 차승원의 이북식 닭곰탕,닭곰탕,"닭,건대추,월계수잎 장,통마늘,편생강 분량,통후추,말린 샐러리,맥문동티백  생강술,소금,후추,파"
곤드레나물밥 만들기~~~,곤드레나물밥,"냉동 곤드레나물,쌀,밥물  들기름,천일염  간장,홍고추,대파  것, 마늘,깨"
사골 떡국 끓이는법 설날 사골떡국 만드는법,사골떡국,"사골곰탕,쇠고기다짐육,호박,떡국떡,만두,달걀,기름,대파  간장,매실청,참기름,마늘"
시금치된장국 끓이기,시금치된장국,"된장,시금치,쌀뜨물,멸치 ,다시마,파 대,홍고추,두부"
떡국 맛있게 끓이는 법,떡국,"백미떡국떡,감귤 떡국떡  멸치다싯포,대파,달걀,국간장"
친정엄마가 가르쳐준 잡채,잡채,"당면,소고기,양파,청피망,홍피망,시금치  소금,참기름,간장,깨,굴소스,설탕,후추,마늘"
닭곰탕~국물이 깔끔하고 단백한맛,닭곰탕,"닭,양파,대파,통마늘,소주,후추,생강가루 고춧가루,마늘,파,청양고추,후추"
소갈비찜 만드는법 부드럽고 맛있는 양념 황금레시피,소갈비찜,"소갈비,무,마,밤 알,당근,은행,표고,대추,감초,생강  진간장,올리고당,설탕,마늘,생강,맛술,양파,배,커피,참기름,깨소금"
떡국♡추운 날 뜨끈하게 한그릇 드세요~^^,떡국,"떡국떡,양지머리,양파,대파,달걀  통후추,마늘 쪽,국간장,소금,물"
치즈 웨지감자 떡볶이 만들기,떡볶이,"떡,어묵,계란,만두,양파,양배추,청양고추,파 고추장,고추가루,간장,설탕,올리고당,맛술,캡싸이신"
닭 오븐구이 만들기,닭오븐구이,"닭,허브솔트,미향,올리브유"
콩나물잡채 ,콩나물잡채,"당면,사각오뎅,양파,당근,표고버섯 송이,깨,콩나물,마늘 볶음양념 간장,참기름,올리고당,맛술 간장,카놀라유,올리고당"
삼겹살데이엔 통삼겹살 구이와 소고기스테이크! 에어프라이어 요리.,통삼겹살구이,"통삼겹살 두께,소금,후추 넉넉하게,통마늘,고구마,쌈채소,초고추장,차 도 분,차 도 분,차 도 분 소고기한우채끝살두께,소금 꼬집 넉넉하게,올리브유,차 도 분,차 도 분"
소고기무국~유아/어린이반찬,소고기무국,"소고기,무,양파,새송이버섯,대파,청주 ,참기름,마늘,고춧가루,멸치다시물 ,국간장"
참치밥전 만들기,참치밥전,"참치 크게,맛살 줄,양파,당근,파,후추,소금 꼬집,계란"
칼칼한 홍합탕 ,홍합탕,"홍합,파 단,양파,소금"
김치콩나물국 끓이는법 (멸치육수 없이 맹물로),김치콩나물국,"콩나물,배추김치,멸치육수,대파,청양고추,두부,액젓,소금,다시다"
진짜 쉬운 김치 콩나물국,김치콩나물국,"김치,콩나물,대파,홍고추,물,다시다,육수용멸치  김치국물,간장,마늘,소금"
초간단국요리 맛에 차이를 느껴 누구에게나 칭찬받는 소고기미역국,소고기미역국,"소고기,건미역,소금,멸치액젓,물,마늘"
닭볶음탕일까.. 찜닭일까.. 그 어디쯤...,닭볶음탕,"닭,감자,양파,대파,청양고추,매운고춧가루  간장,설탕,소금 ,맛술,후추,참기름"
생생정보통 황금레시피 잡채,잡채,"납작당면,부추,양파,표고버섯,당근  간장,설탕,소금,후추,참기름,깨"
돼지고기 목살스테이크~),돼지고기목살스테이크,"돼지고 목살 쪽,식용유,소금,청주  허브 솔트  양파,새송이버섯,양송이버섯,깐 마늘 ,베이비채소,딸기 바베큐소스,굴 소스,케첩,물엿,맛술, 마늘,물"
#집에서 즐기는 월남쌈만들기 #단무지가 들어간 월남쌈!!!,월남쌈,"라이스페이퍼,파프리카,당근,양파,새싹채소,무순,농어"
떡국 끓이기  편의점 재료로 10분 뚝딱  고기없이 떡국,떡국,"떡국 떡,시판사골,물,대파,소고기  소금,후추   마늘,달걀"
매콤한 순대볶음 ,순대볶음,"순대,당면,깻잎,양배추,양파,대파,청양고추  고추장,고춧가루,간장,들깨가루,마늘,카레가루,맛술,후추"
칼칼하고 깔끔한 제육볶음,제육볶음,"냉동삼겹살,느타리버섯 덩어리,당근,애호박,양파,대파,마늘,고추장,고춧가루,양조간장,꿀,매실액,후추,생강 꼬집,청주,깨"
있는 재료들로 간단 잡채 만들기~*,잡채,"당면,당근,양파,파프리카,대파,목이버섯,간장 ,굴소스,설탕,마늘,깨,참기름,후추"
초간단 김밥 만들기~!,김밥,"김,맛살 그램, 햄 그램,베이컨 그램,우엉 그램,단무지 그램,밥 그램,조미김,계란  참기름,식용유"
오늘 저녁 메뉴  오징어볶음 만드는 법 핵꿀맛 !,오징어볶음,"오징어,양파,당근,양배추,대파,콩나물,버섯  간장,굴소스,마늘,올리고당,후추"
얼큰한 알탕 끓이기,알탕,"명란젓갈,무,두부,콩나물,홍고추 ,팽이버섯 ,고춧가루,마늘,대파  물,국멸치,다시마"
갈치조림,갈치조림,"갈치,감자,감자,양파,대파,청양고추  고추장,고추가루,간장,마늘,요리당,청주,다시마 멸치육수"
초간단 오징어무국 만들기,오징어무국,"오징어,무,애호박,파,청양고추,멸치다시마육수,[양념장],고추장,된장,고추가루,마늘"
오므라이스 간단한 한 끼,오므라이스," 양파,감자,호박,당근,계란,스팸,표고버섯,소금,후추,식용유  물,굴소스,케찹,돈까스소스,올리고당"
저녁메뉴 요리초보가 만들어도 맛있는 닭볶음탕,닭볶음탕,"닭,물,마늘,간장,생강,고추장,고춧가루,매실액,설탕,후추,참기름,당근,대추,양파,감자,홍고추,풋고추"
떡국떡 매운라볶이만들기,라볶이,"다시육수 ,양파,당근,양배추,파,라면,어묵,냉동만두,떡 고춧가루,고추장,간장,올리고당,마늘"
떡볶이만들기  간식은 뭐니뭐니해도 떡볶이지,떡볶이,"떡볶이떡,양파,당근,어묵  고추장,물"
#찜닭만들기 #콜라를 넣고 초간단하게 만드는 매콤달콤짭쪼름한 찜닭!!!,찜닭,"닭,대추,감자,파프리카 간장,마늘,시럽,올리고당,물,참기름,깨"
(황금레시피) 간단하게 만드는 고등어 김치찜,고등어김치찜,"순살고등어,김치 잎,대파,깻잎"
한 번 먹으면 멈출 수 없는 꼬마김밥,꼬마김밥,"양무침 젓가락,단무지 줄,김밥용햄 줄,우엉조림 줄,당근,김밥용김, 참기름,소금,깨  양조간장,꿀,연겨자"
육회비빔밥,육회비빔밥,"육회,밥  고추장,참기름,깨"
아삭함이 살아있는 노하우로 끓인 얼큰 콩나물국,콩나물국,"콩나물 ,조갯살,대파,청고추,홍고추,천일염,미림"
겨울별미 얼큰하고 시원한 홍합탕 만드는법♬,홍합탕,"홍합,마늘 알,청양고추,쪽파,올리브유,후추,소금,맛술,물"
NO34 쑥버무리,쑥버무리,"쑥쌀가루,강낭콩배기  설탕"
제철이라 더 맛있는 갈치조림 간단히 만들어보아요~,갈치조림,"갈치,무,대파,양념장,고춧가루,간당,고추장,맛술,설탕,마늘,파,물,생강이나 가루,후추,깨"
동태전,동태전,"동태포,소금,후추,달걀,부침가루 ,식용유"
#여름보양식 닭볶음탕만들기#닭볶음탕 보양식으로 딱입니다!^^,닭볶음탕,"닭,당근,알감자,떡볶이떡,대파,청양고추,양파,청주  간장,마늘,고춧가루,매실청,생강가루  설탕,참치액,후추"
강식당 오므라이스레시피 돈까스 소스 까지~,오므라이스,"달걀 , 감자,양파,옥수수캔,당근,파프리카,오이,포도씨유   소금,후추"
겨울제철 굴요리! 굴미역국 시원하게 만들기,굴미역국,"생굴,불린 미역  뒤포리 육수,마늘,참기름,소금"
분식집 떡볶이 100%성공하기,떡볶이,"밀떡  ,대파,어묵 설탕,고춧가루,고추장,진간장,후추,깨,생수"
알토란 돼지갈비찜 만들기 :: 돼지갈비찜 만드는 방법 임성근 갈비찜 레시피,돼지갈비찜,"돼지갈비,감자,양파,당근,대파 시판용돼지갈비양념,간장,참치액,소주,물 자박하게,마늘,후추,참기름"
잡채 쉽게 만드는 법,잡채,"당면,시금치,느타리버섯,파프리카,양파,당근 진간장,물엿,꿀,참기름,깨소금 스품,소금, 마늘,식용유"
경상도식 소고기무국 얼큰하지요,소고기무국,"소고기,무,다시마,대파, 마늘,참기름,물  국간장,연두,볶은소금,후추"
김치볶음밥 황금레시피 맛있게 만드는방법 ,김치볶음밥,"김치,달걀,식용유  고춧가루,굴소스,참기름,깨"
오징어무국 끓이기,오징어무국,"무,대파,오징어,다시마,국물용 멸치,청양고추,고춧가루,국간장,마늘,소금,후추"
떡국떡으로 두부꾸미 福 떡국,떡국,"다짐육,마늘,진간장,파,설탕꿀,생강가루,달걀지단,호박,물만두"
매운 등갈비 찜... 오븐없이 만드는 매콤한 폭립,매운등갈비찜,"돼지등갈비,대파  간장 ,양파청,생강술,설탕,마늘,참기름,깨,후추,고추가루"
 냉장고 있는 야채로 담백하게 만든 잡채~♡,잡채,"당면,양파,표고버섯,당근 오뎅장,시금치 단 간장,설탕,깨,마늘,참기름,후추"
초간단 소고기무국,소고기무국,"소고기국거리,다시마,대파,마늘,소금,국간장,참기름,물"
버섯 들깨탕,버섯들깨탕,"생표고버섯,만가닥버섯,느타리버섯,팽이버섯  대파,마늘,다시마 멸치육수,국간장,들깨가루"
우엉차를 이용한 애기 배추된장국,배추된장국,"배추잎,대파  다시멸치,물 된장,들깨가루,마늘,액젓"
갈비찜,갈비찜,"육우 갈비살,감자,당근,양파,양송이,통마늘,사과,토마토  고추장,시판 토마토소스,케찹,마늘,참기름,설탕,후추"
들깨 카레향이 솔솔~~ 순대&허파 볶음,순대볶음,"순대 ,깻잎,당근,양파,양배추,당면사리,떡,파 고추장,매실청,간장,떡,마늘,고춧가루"
국물떡볶이 황금레시피 국민간식 떡볶이 맛나,국물떡볶이,"다시마육수,떡,오뎅,삶은계란,양배추,파,[양념],마늘,고추장,설탕,고추가루,올리고당"
떡 만두국~*,떡만두국,"떡국떡,소고기,만두,달걀,대파,식용유,소금,후추,국간장,김가루"
맛있는 가을무!! 고등어무조림 만들기~~ ,고등어무조림,"고등어,무,양파,대파,청양고추,홍고추,쌀뜨물,진간장,고춧가루,설탕, 마늘, 생강,맛술,참기름"
잡채 만드는 방법,잡채,"크래미 줄,당근,청고추,홍고추,대하,물 오징어, 돼지고기,꽃빵,소금,후추  간장,매실엑기스,마늘,생강즙,굴소스"
고추장물 / 멸치고추장물 - 간단 반찬 만들기,멸치고추장물,"청양초,멸치  간장,액젓,마늘,설탕,깨,들기름,물"
국민간식 떡볶이~*,떡볶이,"떡볶이떡,라면사리,바지락,손질새우,파,양파,청양고추,계란,깨  멸치다시육수팩,물  고추장,고운고춧가루,간장,굴소스,마늘,설탕,카레가루,후추"
남은 볶음밥과 집에 있는 반찬으로 싼 김밥 도시락,김밥,"김, 치킨 무 통,오이,당근,달걀,소금,콩기름, 햄프씨드"
깨쟁이요리 돼지고기두루치기 고추장소스,돼지고기두루치기,"돼지고기,깻잎,청홍고추,대파,마늘,당근,양파,배,매실액,가루녹차,상추 간장,설탕,후추,청주"
시원하고 깔끔한 콩나물국 끓이는 황금레시피,콩나물국,"콩나물,쪽파,다시용멸치,청양고추  멸치액젓,새우젓,마늘,설탕"
<아이들반찬>단짠단짠 맛있는 소불고기,소불고기,"척아이롤 등심 불고기,양파,당근,대파,새송이버섯,다시마우린물  양념 : 간장,맛술,설탕,배즙,소금,후추,참기름,마늘,깨"
제육볶음,제육볶음,"돼지고기,양배추,대파,청양고추,홍고추,마지막에 넣어줄 고추가루  간장,마늘,후추  간장,매운 고추가루,간양파,마늘,맛술,물엿,후추"
담백하고 시원한 전복미역국을 끓여보세요^^,전복미역국,"미역불린거,전복 특대,물  마늘,참기름"
갈치조림,갈치조림,"갈치,양파,대파,청량고추,홍고추  고추장,고추가루,간장,청주,요리당,마늘"
백종원의 갈치 조림,갈치조림,"갈치 등분,맛술,소금,쌀뜬물,무 ,감자,청양고추,대파  간장,맛술,고춧가루,설탕,마늘,후추"
소고기미역국 끓이는법 맛있게~,소고기미역국,"불린미역 가득,소고기 가득,마늘 반,국간장,까나리액젓 반,소금"
시래기된장국 끓이는법 구수하게 호로록,시래기된장국,"무청시래기,대파,마늘 된장,고춧가루,연두"
오늘 저녁 메뉴  오징어볶음 만드는 법 핵꿀맛 !,오징어볶음,"반건조 오징어,각종채소,통마늘,청양고추,홍고추,호박,당근,콩나물 삶은거,브로콜리,깻잎 고추가루,맛간장,미림,고추장,고추기름,마늘 씩,후추,조청,연겨자"
집에서 양갈비 스테이크 만드는 법!,양갈비스테이크,"양고기,후추,소금,마늘,올리브오일,딜,타임,월계수잎,통후추"
재첩국 끓이는 법 ,재첩국,"재첩,물,부추,청주,소금,[재첩부추전],재첩알갱이,달걀,부침가루,부추,홍고추,기름"
매운 오삼불고기,오삼불고기,"물오징어,삼겹살 줄,양파,새송이버섯,당근,대파,깻잎,간장,고춧가루,마늘,맛술,후추,깨,올리고당"
마파두부 만들기 나만의 황금레시피,마파두부,"두부, 돼지고기,대파,마늘,맛술,후추 두반장,굴소스,고추가루,설탕,진간장,맛술,물"
단호박죽 만들기 간편하게 끓이는법,단호박죽,"단호박,물,찹쌀물,소금,설탕,대추"
시금치된장국 만드는법 구수하게,시금치된장국,"시금치 단,된장,새우젓,매운고추,마늘 육수 멸치,건새우,다시마,파 대,물 리터"
김장김치듬뿍 돼지갈비찜~! 고기보다 김치가 더맛있는 칼칼한매운갈비찜♡,돼지갈비찜,"돼지갈비,당근,양파,대파 간장,물엿,소주, 마늘,간 양파,후추"
야채과일 불고기,불고기,"불고기감,표고버섯,양파,당근,쪽파,당면  간장,배즙 ,올리고당,설탕,마늘,생강술,후추"
아보카도 장조림 비빔밥,아보카도비빔밥,"아보카도,계란,명란젓,깻잎,상추,어린잎,김가루, 참기름,깨"
